#                                      ID                                       # sources in
# Name              RA       Dec      Number   Rate/s   err/s     sigma  t(sec)  src  bkgd
PSZ2_G305.55-42.77    5.7782 -74.2064  556.00 -0.00094  0.00355  -0.26   568.66    0    0
PSZ2_G305.59-54.80    9.5578 -62.2546  557.00  0.02144  0.01388   1.54   161.45    0    0
PSZ2_G305.76+44.79  194.9768 -18.0330  558.00  0.01860  0.01038   1.79   273.19    0    0
PSZ2_G305.96-25.45  251.9190 -86.8107  559.00  0.04163  0.01532   2.72   226.55    0    0
PSZ2_G305.96-37.15  359.2901 -79.6525  560.00  0.03360  0.01531   2.19   196.36    0    0
PSZ2_G306.23+11.92  197.9731 -50.8189  561.00  0.03661  0.01180   3.10   350.15    1    1
PSZ2_G306.62-41.25    1.6583 -75.5472  562.00 -0.00044  0.00660  -0.07   215.84    0    0
PSZ2_G307.23+16.35  198.8399 -46.3162  563.00 -0.00778  0.00343  -2.27   298.43    0    0
PSZ2_G308.04-15.48  216.0946 -77.4268  564.00  0.06853  0.01825   3.76   245.36    0    0
PSZ2_G309.62-19.95  234.8254 -80.5657  565.00 -0.00134  0.00724  -0.18   197.02    0    0
PSZ2_G310.22+23.02  201.5512 -39.3545  566.00  0.01952  0.01155   1.69   288.18    0    0
PSZ2_G310.81+83.91  193.7525  21.0948  567.00 -0.00411  0.00306  -1.35   469.45    0    0
PSZ2_G311.18-47.76  357.6798 -68.3801  568.00  0.00629  0.00660   0.95   372.87    0    0
PSZ2_G311.23-23.00  255.9131 -81.4289  569.00 -0.00510  0.00596  -0.86   170.22    0    0
PSZ2_G311.33-48.50  358.1152 -67.6485  570.00  0.02232  0.00868   2.57   416.10    0    0
PSZ2_G312.35+17.84  205.3896 -44.1040  571.00  0.06590  0.01979   3.33   220.68    0    1
PSZ2_G312.48-28.86  296.6917 -81.3869  572.00  0.00840  0.00785   1.07   285.82    0    0
PSZ2_G314.77-28.57  293.4761 -79.4366  573.00  0.00532  0.00847   0.63   237.35    0    0
PSZ2_G315.66-28.64  293.5013 -78.6476  574.00 -0.00128  0.00606  -0.21   235.39    0    0
PSZ2_G315.71-83.81   11.2292 -33.1467  575.00  0.01333  0.00820   1.62   345.88    0    0
PSZ2_G316.43+54.02  200.8194  -8.0130  576.00  0.02368  0.01140   2.08   263.89    0    1
PSZ2_G316.51-33.21  313.5504 -76.7867  577.00 -0.00345  0.00586  -0.59   172.75    0    0
PSZ2_G316.89-32.24  309.0956 -76.8456  578.00  0.02618  0.02179   1.20    79.67    0    0
PSZ2_G317.79+26.63  208.9920 -34.3670  579.00  0.05780  0.01572   3.68   312.15    1    0
PSZ2_G318.46+83.79  194.6380  21.1366  580.00 -0.00294  0.00303  -0.97   472.20    0    0
PSZ2_G318.54-07.62  232.9243 -65.5214  581.00  0.00857  0.00901   0.95   352.70    0    1
PSZ2_G319.16+26.63  210.4069 -34.0109  582.00 -0.01348  0.00601  -2.24   293.50    0    1
PSZ2_G319.64-65.11    1.8784 -50.5600  583.00  0.00852  0.01328   0.64   106.96    0    0
PSZ2_G320.94+83.69  194.9460  21.1157  584.00  0.00744  0.00560   1.33   474.13    0    0
PSZ2_G321.08-17.96  257.9283 -70.9264  585.00 -0.00900  0.00724  -1.24   140.21    0    0
PSZ2_G321.94+75.57  197.6433  13.4177  586.00 -0.00844  0.00345  -2.45   297.21    0    0
PSZ2_G322.44+20.29  216.6179 -38.9512  587.00  0.08936  0.01430   6.25   533.48    0    0
PSZ2_G322.74-42.10  330.7661 -67.9635  588.00  0.00884  0.01162   0.76   193.48    0    0
PSZ2_G323.31+27.37  214.2706 -32.0827  589.00  0.01509  0.00952   1.58   365.20    0    0
PSZ2_G323.70-25.45  282.4324 -71.3248  590.00 -0.00742  0.01000  -0.74   143.00    0    0
PSZ2_G323.77-33.80  308.3536 -70.8782  591.00  0.00508  0.01150   0.44   174.85    0    0
PSZ2_G323.96+43.81  208.5255 -16.4826  592.00  0.02836  0.01109   2.56   312.87    0    1
PSZ2_G325.19+49.12  207.4979 -11.1993  593.00  0.02444  0.01034   2.36   349.77    0    0
PSZ2_G325.25-33.72  307.2512 -69.7017  594.00 -0.00459  0.00908  -0.51   157.19    0    0
PSZ2_G325.86-33.56  306.4916 -69.2387  595.00 -0.00944  0.00639  -1.48   159.42    0    0
PSZ2_G327.27+11.05  227.8356 -45.1025  596.00  0.01019  0.00929   1.10   390.32    0    1
PSZ2_G327.66-54.26  345.9076 -57.3802  597.00  0.00237  0.00532   0.45   378.22    0    0
PSZ2_G328.05+15.79  225.4370 -40.6348  598.00  0.13680  0.02259   6.06   319.66    1    0
PSZ2_G328.96+71.97  200.8033  10.7282  599.00 -0.00170  0.00739  -0.23   272.93    0    0
PSZ2_G329.29+29.18  218.9842 -28.2837  600.00  0.00597  0.00915   0.65   329.88    0    0
PSZ2_G332.11-23.63  281.8545 -63.4670  601.00  0.02026  0.01841   1.10   144.40    0    1
PSZ2_G337.23-12.59  265.3503 -54.7811  602.00  0.04759  0.02316   2.06   129.83    0    0
PSZ2_G337.90+23.58  229.8026 -29.0701  603.00 -0.00481  0.00552  -0.87   366.39    0    1
PSZ2_G337.91-12.15  265.2563 -53.9835  604.00 -0.00814  0.01144  -0.71   124.99    0    0
PSZ2_G337.92-64.34  351.6722 -46.6118  605.00  0.00314  0.00762   0.41   186.59    0    0
PSZ2_G337.95+22.70  230.4399 -29.7549  606.00  0.01540  0.00910   1.69   365.58    1    0
PSZ2_G337.99-33.61  303.6794 -59.2175  607.00 -0.00654  0.00584  -1.12   173.83    0    0
PSZ2_G338.04+23.65  229.8801 -28.9405  608.00 -0.00826  0.00479  -1.73   367.28    0    2
PSZ2_G338.21+23.46  230.1449 -29.0008  609.00  0.00136  0.00654   0.21   376.94    0    1
PSZ2_G338.25+22.60  230.7619 -29.6805  610.00 -0.00037  0.00671  -0.05   367.76    0    2
PSZ2_G338.52+22.97  230.7419 -29.2307  611.00 -0.01133  0.00398  -2.85   363.66    0    1
PSZ2_G339.74-51.08  333.7590 -53.3557  612.00  0.01003  0.00741   1.35   358.24    0    0
PSZ2_G340.09+22.89  232.1195 -28.4241  613.00  0.00510  0.00727   0.70   365.93    0    0
PSZ2_G340.35-42.80  320.1065 -55.9378  614.00 -0.00908  0.00659  -1.38   217.49    0    0
PSZ2_G340.97+34.18  225.4561 -18.8788  615.00 -0.00196  0.00389  -0.50   862.04    0    0
PSZ2_G341.09-33.15  302.6889 -56.6366  616.00  0.02467  0.02152   1.15   168.40    0    1
PSZ2_G342.32+23.51  233.4872 -26.6588  617.00 -0.00408  0.00578  -0.71   390.62    0    0
PSZ2_G342.45+24.14  233.1550 -26.0996  618.00  0.00299  0.00661   0.45   402.73    0    0
PSZ2_G343.68+24.10  234.1435 -25.4147  619.00  0.01789  0.00924   1.94   391.75    0    0
PSZ2_G343.92+22.67  235.3521 -26.3669  620.00 -0.00183  0.00660  -0.28   404.05    0    0
PSZ2_G345.38-25.32  290.0080 -52.0565  621.00 -0.00768  0.01355  -0.57    74.62    0    1
PSZ2_G347.96+80.46  200.0335  20.2121  622.00  0.00141  0.00509   0.28   279.53    0    0
PSZ2_G349.18+38.66  227.9724 -11.2785  623.00  0.05080  0.01965   2.58   183.86    0    0
PSZ2_G349.50-06.85  266.9918 -41.4479  624.00  0.02096  0.01738   1.21   191.73    0    1
PSZ2_G353.36-26.49  294.1021 -45.2954  625.00  0.04144  0.01351   3.07   305.82    1    0
PSZ2_G355.22-70.03  352.8318 -37.9115  626.00  0.00416  0.01179   0.35    85.21    0    0
PSZ2_G356.21-43.11  317.8340 -44.4344  627.00  0.02980  0.01073   2.78   336.65    0    0
PSZ2_G356.88-11.33  276.5106 -37.0974  628.00  0.89009  0.07854  11.33   150.70    0    2
PSZ2_G358.80-10.83  276.9624 -35.1774  629.00  0.09793  0.03343   2.93   119.88    0    0
PSZ2_G359.60-08.72  275.0918 -33.5317  630.00 -0.00047  0.01508  -0.03   133.65    0    0
PSZ2_G359.67-07.23  273.5496 -32.7910  631.00  0.14252  0.03575   3.99   134.32    1    0
