#                                      ID                                       # sources in
# Name              RA       Dec      Number   Rate/s   err/s     sigma  t(sec)  src  bkgd
PSZ2_G185.45-32.01   62.0170   6.1094  400.00  0.00474  0.00558   0.85   311.53    0    0
PSZ2_G185.50-33.94   60.5059   4.9030  401.00 -0.00192  0.00314  -0.61   322.81    0    0
PSZ2_G185.68+09.82   99.3390  28.6406  402.00  0.02720  0.00938   2.90   385.02    0    0
PSZ2_G185.72-32.23   61.9820   5.7911  403.00 -0.00245  0.00330  -0.74   307.31    0    0
PSZ2_G186.50-13.45   77.9523  16.2059  404.00  0.02552  0.00978   2.61   458.50    0    1
PSZ2_G189.79-37.25   59.9045   0.1319  405.00  0.00093  0.00448   0.21   317.74    0    0
PSZ2_G191.57+58.88  157.4152  33.9099  406.00 -0.00462  0.00226  -2.04   452.70    0    0
PSZ2_G191.82-26.64   69.6538   4.7007  407.00 -0.00386  0.00340  -1.13   421.56    0    1
PSZ2_G192.40-67.89   34.5819 -17.7564  408.00 -0.00584  0.00261  -2.24   392.99    0    1
PSZ2_G193.90+09.41  102.7991  21.1486  409.00  0.03361  0.00984   3.42   443.72    0    0
PSZ2_G194.68-49.76   51.3417  -9.6805  410.00 -0.00581  0.00283  -2.05   508.53    0    0
PSZ2_G195.03-79.43   23.8236 -23.4607  411.00  0.02291  0.01294   1.77   189.70    0    0
PSZ2_G201.20-42.83   59.7072 -10.2163  412.00  0.00621  0.00640   0.97   351.03    0    0
PSZ2_G202.61-26.26   74.9620  -3.3718  413.00  0.00838  0.00717   1.17   396.37    0    2
PSZ2_G202.66+66.98  166.8142  28.7965  414.00 -0.00500  0.00325  -1.54   314.24    0    0
PSZ2_G203.32+08.91  106.5419  12.5539  415.00  0.02836  0.00917   3.09   450.60    0    2
PSZ2_G203.71+50.82  148.7731  26.3309  416.00  0.00083  0.00391   0.21   445.52    0    0
PSZ2_G204.91-69.71   34.6922 -22.6225  417.00  0.00052  0.00560   0.09   254.17    0    0
PSZ2_G206.55-43.22   61.1063 -13.9000  418.00 -0.00226  0.00397  -0.57   360.94    0    0
PSZ2_G208.57-44.31   60.6747 -15.6733  419.00 -0.00522  0.00275  -1.90   370.86    0    1
PSZ2_G210.02-56.38   49.1152 -20.7779  420.00  0.01780  0.00578   3.08   714.52    0    0
PSZ2_G210.37-37.00   68.1827 -14.0503  421.00 -0.00106  0.00520  -0.20   194.10    0    0
PSZ2_G210.71+63.08  162.9235  24.9692  422.00  0.00169  0.00517   0.33   337.05    0    0
PSZ2_G210.78-36.25   69.0298 -14.0494  423.00 -0.00299  0.00365  -0.82   277.87    0    0
PSZ2_G215.25-87.14   16.0648 -27.2075  424.00  0.00125  0.00529   0.24   329.59    0    0
PSZ2_G215.75-32.97   73.7970 -16.5573  425.00 -0.00362  0.00387  -0.94   369.74    0    1
PSZ2_G216.25+10.10  113.3568   1.6767  426.00 -0.00197  0.00340  -0.58   419.74    0    0
PSZ2_G218.58+08.71  113.1884  -1.0031  427.00  0.03318  0.00993   3.34   415.99    0    0
PSZ2_G224.86-79.51   24.5816 -28.8074  428.00 -0.00289  0.00328  -0.88   534.51    0    0
PSZ2_G225.18-33.61   75.9984 -24.1888  429.00  0.01576  0.00779   2.02   446.16    0    0
PSZ2_G225.76-17.35   92.5720 -18.9449  430.00  0.04829  0.00989   4.88   581.39    1    0
PSZ2_G226.12-19.51   90.6140 -20.1029  431.00  0.03807  0.00949   4.01   537.90    0    1
